,open_date,subject,neighborhood,Days_Open
40142,2022-08-05 09:11:00,Dept of Public Works,First Ward,212
40210,2022-06-07 10:29:00,Dept of Law,UNKNOWN,271
40234,2022-04-06 09:26:00,Dept of Public Works,Hopkins-Tifft,333
40292,2022-10-24 15:05:00,DPIS,North Park,132
40304,2022-05-03 14:13:00,Dept of Public Works,Riverside,306
40398,2022-07-12 16:19:00,Dept of Public Works,First Ward,236
40401,2022-07-20 13:36:00,Dept of Law,UNKNOWN,228
40431,2022-04-26 08:41:00,Dept of Public Works,University Heights,313
40490,2022-08-06 20:43:00,Dept of Law,UNKNOWN,211
40525,2022-04-06 13:35:00,Dept of Public Works,Genesee-Moselle,333
40599,2022-08-19 10:45:00,Dept of Law,UNKNOWN,198
40608,2022-06-30 11:17:00,Dept of Public Works,Hopkins-Tifft,248
40618,2022-07-08 20:15:00,DPIS,Elmwood Bryant,240
40659,2022-08-03 13:42:00,Dept of Public Works,Genesee-Moselle,214
40671,2022-07-13 13:30:00,Dept of Law,UNKNOWN,235
40683,2022-07-20 16:25:00,Dept of Public Works,UNKNOWN,228
40767,2022-04-05 11:55:00,Dept of Law,UNKNOWN,334
40831,2022-05-13 13:32:00,Dept of Public Works,University Heights,296
40890,2022-11-07 09:45:00,DPIS,Hopkins-Tifft,118
40920,2022-04-05 14:15:00,DPIS,Broadway Fillmore,334
40939,2022-08-15 23:59:00,Dept of Public Works,University Heights,201
40966,2022-03-15 11:41:00,Dept of Public Works,Hopkins-Tifft,355
40973,2022-12-01 09:45:00,Dept of Public Works,South Park,94
41060,2022-06-25 01:38:00,Dept of Public Works,Elmwood Bidwell,253
41116,2022-05-27 15:00:00,Dept of Public Works,Masten Park,282
41129,2022-08-23 11:08:00,Dept of Public Works,Seneca-Cazenovia,194
41143,2022-07-06 09:35:00,Dept of Public Works,Kensington-Bailey,242
41167,2022-07-16 10:02:00,Dept of Public Works,Upper West Side,232
41187,2022-06-21 11:48:00,Dept of Public Works,Lovejoy,257
41191,2022-07-12 10:01:00,Dept of Public Works,Fruit Belt,236
41227,2022-07-27 15:16:00,DPIS,Hopkins-Tifft,221
41286,2022-07-13 12:50:00,Dept of Public Works,MLK Park,235
41356,2022-10-06 10:30:00,Dept of Public Works,Hopkins-Tifft,150
41358,2022-05-11 16:16:00,Dept of Public Works,Upper West Side,298
41364,2022-05-04 15:50:00,Dept of Law,UNKNOWN,305
41388,2022-10-21 12:18:00,Dept of Public Works,Elmwood Bryant,135
41435,2022-07-20 13:39:00,Dept of Law,UNKNOWN,228
41441,2022-09-12 13:19:00,Dept of Public Works,Hamlin Park,174
41508,2022-05-03 16:22:00,Dept of Public Works,Kenfield,306
41627,2022-10-31 08:35:00,Dept of Public Works,Broadway Fillmore,125
41677,2022-08-03 16:28:00,Dept of Law,UNKNOWN,214
41701,2022-05-03 12:32:00,Dept of Public Works,Elmwood Bidwell,306
41715,2022-08-29 11:16:00,Dept of Law,UNKNOWN,188
41773,2022-12-05 10:36:00,Dept of Public Works,South Park,90
41828,2022-10-11 08:35:00,Dept of Public Works,Lower West Side,145
41943,2022-08-19 09:57:00,DPIS,North Park,198
41965,2022-08-29 09:23:00,Dept of Public Works,Broadway Fillmore,188
41968,2022-10-21 16:09:00,Dept of Law,UNKNOWN,135
41992,2022-08-17 15:48:00,Dept of Law,UNKNOWN,200
42007,2022-10-21 10:47:00,Dept of Public Works,Genesee-Moselle,135
42136,2022-07-19 09:32:00,Dept of Public Works,Elmwood Bryant,229
42171,2022-05-21 16:54:00,Dept of Public Works,Hopkins-Tifft,288
42285,2022-11-19 14:55:00,Dept of Law,UNKNOWN,106
42310,2022-05-03 11:17:00,Dept of Public Works,Elmwood Bryant,306
42348,2022-08-29 15:35:00,Dept of Law,UNKNOWN,188
42479,2022-12-14 12:01:00,Dept of Public Works,South Park,81
42524,2022-06-27 14:50:00,Dept of Public Works,Delavan Grider,251
42577,2022-07-17 11:00:00,DPIS,Delavan Grider,231
42590,2022-07-19 10:02:00,Dept of Law,UNKNOWN,229
42606,2022-07-26 09:32:00,Dept of Public Works,Kensington-Bailey,222
42629,2022-07-21 17:06:00,Dept of Law,UNKNOWN,227
42684,2022-05-26 15:50:00,Dept of Public Works,Hopkins-Tifft,283
42816,2022-07-11 16:08:00,Dept of Public Works,Hopkins-Tifft,237
42832,2022-11-02 14:10:00,Dept of Law,UNKNOWN,123
42833,2022-07-07 11:08:00,Dept of Public Works,Elmwood Bidwell,241
42857,2022-08-04 16:25:00,Dept of Public Works,Lovejoy,213
42917,2022-07-13 20:50:00,Dept of Law,UNKNOWN,235
42938,2022-07-15 15:00:00,Dept of Public Works,UNKNOWN,233
42942,2022-10-17 12:15:00,DPIS,West Side,139
43018,2022-04-13 10:09:00,Dept of Public Works,Parkside,326
43040,2022-08-04 09:23:00,Utilities,Hopkins-Tifft,213
43126,2022-05-02 13:09:00,Dept of Public Works,Fillmore-Leroy,307
43136,2022-07-15 17:21:00,Dept of Public Works,West Side,233
43201,2022-07-27 07:34:00,Utilities,Hopkins-Tifft,221
43224,2022-04-21 11:21:00,Dept of Public Works,Hopkins-Tifft,318
43374,2022-08-02 13:29:00,Dept of Public Works,Genesee-Moselle,215
43521,2022-08-11 10:51:00,Dept of Public Works,Delavan Grider,206
43536,2022-08-29 19:38:00,Dept of Public Works,Allentown,188
43538,2022-12-12 19:54:00,Dept of Law,UNKNOWN,83
43616,2022-03-31 08:41:00,Dept of Public Works,MLK Park,339
43623,2022-07-25 09:35:00,Dept of Public Works,Elmwood Bryant,223
43645,2022-12-14 09:23:00,Dept of Public Works,West Side,81
43690,2022-04-12 00:18:00,Dept of Public Works,Broadway Fillmore,327
43725,2022-07-22 14:46:00,Dept of Public Works,Fruit Belt,226
43741,2022-08-19 13:20:00,Dept of Public Works,Delavan Grider,198
43763,2022-07-05 14:54:00,Dept of Public Works,Hopkins-Tifft,243
43766,2022-05-02 13:49:00,Dept of Public Works,Delavan Grider,307
43778,2022-05-05 12:26:00,Dept of Law,UNKNOWN,304
43830,2022-08-02 14:23:00,Dept of Public Works,Broadway Fillmore,215
43906,2022-06-23 13:59:00,Dept of Law,UNKNOWN,255
43909,2022-08-28 03:13:00,Dept of Public Works,First Ward,189
44067,2022-02-15 10:38:00,Dept of Law,UNKNOWN,383
44140,2022-07-20 11:20:00,Dept of Public Works,MLK Park,228
44150,2022-06-17 15:10:00,Dept of Public Works,MLK Park,261
44202,2022-06-01 13:06:00,Dept of Law,UNKNOWN,277
44224,2022-10-20 16:06:00,Dept of Law,UNKNOWN,136
44229,2022-07-22 09:55:00,Dept of Public Works,Masten Park,226
44235,2022-07-18 08:41:00,Dept of Public Works,Kensington-Bailey,230
44279,2022-08-31 14:45:00,Dept of Public Works,Elmwood Bryant,186
44283,2022-11-10 14:19:00,Dept of Public Works,Hopkins-Tifft,115
44447,2022-05-01 08:44:00,Dept of Law,UNKNOWN,308
44500,2022-08-17 14:52:00,Dept of Law,UNKNOWN,200
44570,2022-07-06 10:29:00,Dept of Public Works,Kaisertown,242
44580,2022-05-31 15:17:00,Dept of Law,UNKNOWN,278
44702,2022-07-12 10:37:00,Dept of Public Works,Seneca-Cazenovia,236
44727,2022-04-05 11:59:00,Dept of Public Works,Genesee-Moselle,334
44757,2022-07-26 12:19:00,Dept of Public Works,Parkside,222
44790,2022-04-06 09:38:00,Dept of Public Works,Kensington-Bailey,333
44937,2022-07-19 15:25:00,Dept of Public Works,Ellicott,229
44940,2022-04-25 18:00:00,Dept of Law,UNKNOWN,314
44995,2022-08-29 13:45:00,Dept of Public Works,South Park,188
45069,2022-05-02 11:32:00,Dept of Public Works,University Heights,307
45155,2022-04-11 14:59:00,Dept of Public Works,Delavan Grider,328
45241,2022-04-06 10:31:00,Dept of Law,UNKNOWN,333
45272,2022-07-29 09:33:00,Dept of Public Works,Broadway Fillmore,219
45298,2022-12-06 11:18:00,Dept of Public Works,Pratt-Willert,89
45388,2022-09-27 15:10:00,Dept of Public Works,Delavan Grider,159
45495,2022-11-08 19:03:00,Dept of Law,UNKNOWN,117
45524,2022-09-28 14:09:00,Dept of Law,UNKNOWN,158
45605,2022-09-27 12:11:00,Dept of Public Works,Black Rock,159
45664,2022-10-12 14:11:00,Dept of Public Works,Genesee-Moselle,144
45667,2022-08-31 16:13:00,DPIS,Broadway Fillmore,186
45700,2022-11-22 15:43:00,Dept of Public Works,Elmwood Bryant,103
45726,2022-11-07 16:06:00,Dept of Public Works,University Heights,118
45782,2022-09-01 16:35:00,Dept of Law,UNKNOWN,185
45795,2022-10-25 14:50:00,Dept of Public Works,Hopkins-Tifft,131
45811,2022-10-12 13:09:00,Dept of Public Works,Kensington-Bailey,144
45824,2022-10-13 22:37:00,Dept of Law,UNKNOWN,142
45863,2022-10-12 10:20:00,Dept of Public Works,Elmwood Bidwell,144
45949,2022-09-12 21:53:00,Dept of Public Works,Hopkins-Tifft,174
45982,2022-12-07 08:59:00,Office of Strategic Planning,Central,88
46027,2022-09-01 16:08:00,DPIS,North Park,185
46067,2022-10-05 14:31:00,Dept of Public Works,Genesee-Moselle,151
46076,2022-09-26 12:53:00,DPIS,West Hertel,160
46279,2022-10-19 16:28:00,Dept of Public Works,West Side,137
46288,2022-03-16 09:40:00,Dept of Public Works,Elmwood Bidwell,354
46317,2022-08-30 12:57:00,Dept of Public Works,Black Rock,187
46327,2022-10-25 12:41:00,Dept of Public Works,Central,131
46335,2022-08-30 12:21:00,Dept of Public Works,Delavan Grider,187
46371,2022-11-21 10:18:00,Dept of Law,UNKNOWN,104
46389,2022-12-16 14:21:00,Dept of Public Works,West Side,79
46434,2022-03-16 09:24:00,Dept of Public Works,Fruit Belt,354
46450,2022-10-28 10:41:00,Dept of Public Works,Delavan Grider,128
46494,2022-11-04 14:40:00,Dept of Public Works,Seneca-Cazenovia,121
46531,2022-12-08 16:22:00,Dept of Public Works,Central,87
46533,2022-11-01 11:27:00,Dept of Law,UNKNOWN,124
46591,2022-07-05 11:35:00,Dept of Public Works,Fruit Belt,243
46607,2022-10-27 13:13:00,Dept of Law,UNKNOWN,129
46624,2022-08-31 15:25:00,Dept of Public Works,First Ward,186
46643,2022-03-15 13:43:00,Dept of Public Works,Lovejoy,355
46687,2022-08-31 09:15:00,Dept of Law,UNKNOWN,186
46694,2022-08-31 20:35:00,Dept of Law,UNKNOWN,186
46722,2022-11-18 14:35:00,Dept of Public Works,Upper West Side,107
46739,2022-10-20 09:45:00,DPIS,Broadway Fillmore,136
46757,2022-09-27 11:41:00,Dept of Public Works,Parkside,159
46770,2022-10-13 14:33:00,Dept of Public Works,Central Park,143
46806,2022-08-31 13:14:00,Dept of Public Works,Upper West Side,186
46838,2022-09-28 13:10:00,Dept of Public Works,University Heights,158
46864,2022-10-11 16:06:00,Dept of Law,UNKNOWN,145
46887,2022-12-15 14:02:00,Dept of Public Works,Schiller Park,80
46918,2022-10-21 13:33:00,DPIS,Riverside,135
46921,2022-09-23 10:09:00,Dept of Parking,Lovejoy,163
46941,2022-09-29 16:25:00,Dept of Law,UNKNOWN,157
46959,2022-10-20 10:58:00,Dept of Public Works,Central Park,136
47171,2022-09-23 12:27:00,Dept of Public Works,Riverside,163
47201,2022-06-14 13:16:00,Dept of Public Works,Kensington-Bailey,264
47229,2022-10-26 11:20:00,Dept of Public Works,Lovejoy,130
47280,2022-10-21 10:48:00,Dept of Public Works,Fillmore-Leroy,135
47314,2022-10-04 13:46:00,Dept of Public Works,Hamlin Park,152
47385,2022-08-31 08:54:00,Dept of Public Works,Elmwood Bryant,186
47399,2022-11-16 13:15:00,Dept of Public Works,Delavan Grider,109
47460,2022-11-15 14:41:00,Dept of Public Works,Hopkins-Tifft,110
47478,2022-12-19 09:37:00,Dept of Public Works,Kensington-Bailey,76
47519,2022-08-31 12:56:00,Office of the Mayor,Elmwood Bryant,186
47541,2022-10-21 09:57:00,Dept of Law,UNKNOWN,135
47543,2022-11-07 06:26:00,Dept of Public Works,Broadway Fillmore,118
47572,2022-03-15 10:34:00,Dept of Public Works,Seneca-Cazenovia,355
47640,2022-11-10 12:04:00,Dept of Public Works,Parkside,115
47655,2022-09-15 21:16:00,Dept of Law,UNKNOWN,171
47684,2022-10-19 12:33:00,DPIS,Schiller Park,137
47741,2022-10-19 10:23:00,Dept of Public Works,Masten Park,137
47792,2022-08-31 14:28:00,Dept of Public Works,West Hertel,186
47959,2022-08-11 15:53:00,Dept of Public Works,Kaisertown,206
48025,2022-09-26 10:13:00,Dept of Public Works,Upper West Side,160
48035,2022-09-27 10:39:00,Dept of Public Works,South Park,159
48076,2022-10-25 12:09:00,DPIS,Kensington-Bailey,131
48082,2022-09-02 15:27:00,Dept of Public Works,Riverside,184
48204,2022-09-07 17:31:00,Dept of Law,UNKNOWN,179
48300,2022-09-28 11:02:00,Dept of Public Works,Broadway Fillmore,158
48319,2022-10-06 02:01:00,Utilities,North Park,150
48379,2022-09-30 15:33:00,Dept of Law,UNKNOWN,156
48397,2022-10-25 15:11:00,Dept of Public Works,Hopkins-Tifft,131
48581,2022-10-21 11:30:00,Buffalo Police Department,Genesee-Moselle,135
48613,2022-10-28 12:10:00,Dept of Law,UNKNOWN,128
48621,2022-10-29 10:24:00,Buffalo Police Department,Riverside,127
48628,2022-10-25 13:09:00,Dept of Public Works,First Ward,131
48704,2022-12-06 09:11:00,Dept of Public Works,Seneca-Cazenovia,89
48723,2022-12-14 13:56:00,Dept of Law,UNKNOWN,81
48784,2022-10-25 16:21:00,Dept of Public Works,Seneca-Cazenovia,131
48792,2022-07-08 10:26:00,Office of the Mayor,Schiller Park,240
48863,2022-09-29 16:05:00,Dept of Public Works,Genesee-Moselle,157
48975,2022-12-06 13:00:00,Dept of Public Works,Schiller Park,89
49065,2022-12-05 14:53:00,Dept of Public Works,Lovejoy,90
49121,2022-11-17 14:29:00,Dept of Public Works,Central Park,108
49150,2022-12-06 12:49:00,Dept of Public Works,Hopkins-Tifft,89
49232,2022-09-28 10:50:00,Dept of Public Works,Hopkins-Tifft,158
49345,2022-10-13 10:31:00,Dept of Public Works,Fillmore-Leroy,143
49357,2022-03-14 16:25:00,Dept of Law,UNKNOWN,356
49477,2022-10-11 12:13:00,Dept of Public Works,Broadway Fillmore,145
49497,2022-09-02 20:05:00,Dept of Law,UNKNOWN,184
49602,2022-10-25 08:31:00,Dept of Public Works,South Park,131
49620,2022-11-14 12:50:00,Dept of Public Works,Kenfield,111
49623,2022-09-02 12:59:00,Dept of Public Works,Ellicott,184
49648,2022-12-19 08:34:00,Office of Strategic Planning,Seneca-Cazenovia,76
49696,2022-10-21 15:07:00,Dept of Public Works,University Heights,135
49712,2022-10-11 12:53:00,Dept of Public Works,West Hertel,145
49758,2022-10-02 00:15:00,Office of the Mayor,Masten Park,154
49845,2022-12-13 09:40:00,Dept of Public Works,Delavan Grider,82
49859,2022-12-08 09:01:00,Dept of Public Works,Kensington-Bailey,87
49865,2022-09-10 21:15:00,Buffalo Police Department,Hopkins-Tifft,176
49878,2022-11-23 15:12:00,Dept of Public Works,University Heights,102
49947,2022-10-20 14:41:00,DPIS,Lovejoy,136
49985,2022-09-02 12:39:00,Dept of Public Works,Kenfield,184
50046,2022-08-30 11:14:00,Dept of Public Works,Hopkins-Tifft,187
50054,2022-07-13 12:47:00,Dept of Public Works,Upper West Side,235
50169,2022-05-24 11:00:00,Dept of Public Works,South Park,285
50200,2022-09-02 11:07:00,Dept of Public Works,Elmwood Bryant,184
50201,2022-11-14 10:18:00,Dept of Public Works,South Park,111
50222,2022-07-18 13:04:00,Dept of Public Works,West Side,230
50244,2022-09-30 08:35:00,Dept of Public Works,University Heights,156
50268,2022-09-16 06:35:00,Dept of Law,UNKNOWN,170
50282,2022-10-25 10:17:00,Dept of Public Works,Genesee-Moselle,131
50285,2022-10-18 15:51:00,Dept of Public Works,West Side,138
50303,2022-09-01 09:10:00,Dept of Public Works,Hopkins-Tifft,185
50331,2022-09-01 10:31:00,Dept of Public Works,Upper West Side,185
50336,2022-12-23 08:37:00,Dept of Public Works,North Park,72
50376,2022-11-04 14:42:00,Dept of Public Works,University Heights,121
50415,2022-10-28 09:52:00,Dept of Public Works,Lovejoy,128
50464,2022-05-10 16:11:00,Dept of Public Works,University Heights,299
50534,2022-09-02 13:41:00,Dept of Public Works,Broadway Fillmore,184
50559,2022-10-03 18:54:00,Dept of Law,UNKNOWN,153
50561,2022-08-24 19:54:00,Dept of Public Works,Hopkins-Tifft,193
50650,2022-09-02 15:26:00,Dept of Public Works,South Park,184
50651,2022-04-28 14:13:00,Dept of Public Works,South Park,311
50703,2022-07-21 10:10:00,Dept of Public Works,Kenfield,227
50798,2022-09-02 09:30:00,Buffalo Police Department,Seneca Babcock,184
50859,2022-12-05 10:35:00,Dept of Public Works,South Park,90
50863,2022-10-24 13:44:00,Dept of Public Works,West Hertel,132
50918,2022-05-13 08:10:00,Dept of Law,UNKNOWN,296
50940,2022-09-16 09:31:00,DPIS,Genesee-Moselle,170
50945,2022-10-14 15:36:00,Dept of Public Works,University Heights,142
50955,2022-12-15 15:31:00,DPIS,Schiller Park,80
50975,2022-09-02 11:05:00,Dept of Public Works,Kenfield,184
50990,2022-04-01 10:47:00,Dept of Law,UNKNOWN,338
51075,2022-11-14 14:28:00,Dept of Public Works,Elmwood Bryant,111
51132,2022-11-17 11:24:00,Dept of Public Works,Masten Park,108
51168,2022-09-01 14:54:00,Dept of Public Works,University Heights,185
51178,2022-09-14 00:26:00,Dept of Law,UNKNOWN,172
51198,2022-04-28 15:34:00,Dept of Public Works,Kenfield,311
51220,2022-11-21 12:45:00,Dept of Public Works,Elmwood Bryant,104
51261,2022-09-01 14:18:00,Dept of Public Works,Seneca Babcock,185
51270,2022-10-26 14:14:00,Dept of Public Works,Grant-Amherst,130
51286,2022-09-02 15:19:00,Dept of Public Works,North Park,184
51300,2022-09-28 11:56:00,Dept of Public Works,North Park,158
51330,2022-12-23 11:23:00,Dept of Public Works,Seneca Babcock,72
51368,2022-09-30 10:37:00,Dept of Public Works,Elmwood Bryant,156
51378,2022-09-28 11:44:00,Dept of Public Works,Central Park,158
51391,2022-10-27 10:00:00,Dept of Public Works,Masten Park,129
51396,2022-10-13 11:49:00,DPIS,Riverside,143
51397,2022-10-28 09:35:00,Dept of Public Works,Fruit Belt,128
51403,2022-10-21 10:12:00,Dept of Public Works,Genesee-Moselle,135
51438,2022-10-24 12:45:00,Dept of Public Works,Elmwood Bidwell,132
51443,2022-12-05 12:27:00,Dept of Public Works,Lovejoy,90
51538,2022-09-07 13:35:00,Dept of Law,UNKNOWN,179
51539,2022-11-09 12:18:00,Dept of Public Works,South Park,116
51559,2022-11-02 14:58:00,Dept of Public Works,Riverside,123
51593,2022-08-05 08:37:00,Dept of Public Works,Riverside,212
51688,2022-05-25 09:20:00,Dept of Law,UNKNOWN,284
51700,2022-11-01 12:51:00,Dept of Public Works,Seneca-Cazenovia,124
51734,2022-11-15 10:08:00,Dept of Public Works,Hopkins-Tifft,110
51737,2022-10-17 14:10:00,Dept of Public Works,Kensington-Bailey,139
51769,2022-11-15 15:25:00,Dept of Law,UNKNOWN,110
51803,2022-12-09 08:29:00,Dept of Public Works,Elmwood Bidwell,86
51843,2022-12-20 15:59:00,Dept of Public Works,Seneca-Cazenovia,75
51846,2022-10-13 09:41:00,Dept of Public Works,Kensington-Bailey,143
52014,2022-10-12 11:02:00,Dept of Public Works,Allentown,144
52099,2022-10-31 15:57:00,Dept of Public Works,Allentown,125
52102,2022-10-01 18:47:00,Dept of Public Works,Broadway Fillmore,155
52103,2022-09-05 15:29:00,Dept of Public Works,Lovejoy,181
52146,2022-04-29 10:31:00,Dept of Public Works,Kenfield,310
52199,2022-09-07 12:12:00,Dept of Public Works,Kenfield,179
52253,2022-10-06 16:30:00,Buffalo Police Department,Black Rock,150
52302,2022-09-06 10:07:00,Dept of Public Works,Fruit Belt,180
52362,2022-04-01 09:29:00,Dept of Law,UNKNOWN,338
52676,2022-11-21 19:37:00,Dept of Public Works,Elmwood Bidwell,104
52694,2022-04-28 07:15:00,Buffalo Police Department,Lovejoy,311
52815,2022-11-17 21:14:00,Dept of Law,UNKNOWN,108
52841,2022-10-16 15:00:00,Utilities,Delavan Grider,140
52852,2022-09-08 18:11:00,Dept of Public Works,Allentown,178
52899,2022-10-19 10:49:00,Dept of Public Works,Elmwood Bryant,137
52924,2022-10-31 13:17:00,Dept of Public Works,MLK Park,125
53037,2022-09-15 10:40:00,Dept of Law,UNKNOWN,171
53162,2022-08-09 10:08:00,Dept of Law,UNKNOWN,208
53168,2022-12-16 15:31:00,Dept of Public Works,Broadway Fillmore,79
53173,2022-08-22 20:00:00,Dept of Public Works,Upper West Side,195
53187,2022-11-23 10:05:00,Dept of Law,UNKNOWN,102
53195,2022-10-05 18:42:00,Dept of Law,UNKNOWN,151
53223,2022-11-15 22:00:00,Utilities,Lovejoy,110
53228,2022-12-19 13:13:00,Dept of Public Works,Seneca-Cazenovia,76
53247,2022-11-15 09:52:00,Dept of Public Works,Hopkins-Tifft,110
53273,2022-11-23 17:15:00,Utilities,West Side,102
53328,2022-08-09 15:21:00,Dept of Law,UNKNOWN,208
53412,2022-05-13 13:12:00,Dept of Public Works,Kenfield,296
53443,2022-11-28 15:05:00,Dept of Law,UNKNOWN,97
53461,2022-11-21 08:42:00,Dept of Public Works,West Side,104
53467,2022-09-06 13:54:00,Dept of Public Works,Hopkins-Tifft,180
53523,2022-11-04 08:34:00,Dept of Public Works,Riverside,121
53525,2022-11-29 14:18:00,Dept of Law,UNKNOWN,96
53584,2022-09-16 13:09:00,Dept of Law,UNKNOWN,170
53596,2022-11-29 04:23:00,Dept of Law,UNKNOWN,96
53605,2022-08-02 13:58:00,Dept of Public Works,Broadway Fillmore,215
53616,2022-09-06 18:14:00,Dept of Public Works,Lower West Side,180
53656,2022-12-08 15:46:00,Dept of Public Works,Elmwood Bryant,87
53688,2022-09-20 14:50:00,Dept of Public Works,West Side,166
53739,2022-05-26 11:00:00,Office of Strategic Planning,Kensington-Bailey,283
53760,2022-09-08 14:52:00,Dept of Public Works,North Park,178
53804,2022-11-04 11:48:00,Dept of Public Works,Broadway Fillmore,121
53838,2022-11-05 10:21:00,Dept of Public Works,North Park,120
53899,2022-11-02 08:58:00,Dept of Public Works,MLK Park,123
53937,2022-06-17 16:09:00,Dept of Law,UNKNOWN,261
53969,2022-10-12 08:44:00,Dept of Public Works,Fruit Belt,144
54139,2022-11-01 13:21:00,DPIS,Schiller Park,124
54234,2022-11-03 14:33:00,Dept of Public Works,West Hertel,122
54279,2022-11-23 13:03:00,Dept of Public Works,Black Rock,102
54283,2022-08-22 13:48:00,Dept of Public Works,Fruit Belt,195
54300,2022-12-17 18:15:00,Dept of Public Works,Upper West Side,78
54371,2022-10-06 12:23:00,Dept of Law,UNKNOWN,150
54455,2022-11-15 22:27:00,Dept of Law,UNKNOWN,110
54505,2022-10-24 15:05:00,Dept of Law,UNKNOWN,132
54523,2022-11-21 16:04:00,Dept of Public Works,University Heights,104
54537,2022-09-19 13:02:00,Dept of Public Works,Kenfield,167
54552,2022-11-04 12:55:00,Dept of Public Works,Masten Park,121
54621,2022-08-09 10:07:00,Dept of Law,UNKNOWN,208
54636,2022-10-20 14:33:00,Dept of Law,UNKNOWN,136
54712,2022-11-01 13:27:00,Dept of Public Works,UNKNOWN,124
54715,2022-10-28 16:57:00,Dept of Public Works,North Park,128
54770,2022-09-28 12:58:00,Dept of Public Works,Elmwood Bidwell,158
54777,2022-07-27 12:27:00,Dept of Public Works,University Heights,221
54837,2022-10-20 08:47:00,Dept of Public Works,West Side,136
54870,2022-11-30 12:21:00,Dept of Law,UNKNOWN,95
54883,2022-10-27 11:18:00,Dept of Public Works,Fruit Belt,129
54924,2022-09-08 13:36:00,Dept of Law,UNKNOWN,178
54985,2022-08-19 15:04:00,Dept of Public Works,Elmwood Bryant,198
55008,2022-12-16 10:17:00,Dept of Public Works,Central,79
55020,2022-11-29 13:33:00,Dept of Public Works,Broadway Fillmore,96
55101,2022-10-30 23:13:00,Dept of Public Works,Elmwood Bryant,125
55233,2022-06-07 15:57:00,Dept of Law,UNKNOWN,271
55371,2022-12-22 12:52:00,Dept of Law,UNKNOWN,73
55451,2022-10-17 21:07:00,Dept of Public Works,University Heights,139
55520,2022-12-09 10:17:00,Dept of Public Works,Schiller Park,86
55523,2022-11-03 15:40:00,Dept of Public Works,Broadway Fillmore,122
55583,2022-09-30 15:16:00,Dept of Public Works,North Park,156
55657,2022-09-06 08:42:00,Dept of Public Works,Hopkins-Tifft,180
55673,2022-08-11 16:53:00,Dept of Law,UNKNOWN,206
55733,2022-12-09 11:46:00,Dept of Public Works,Kenfield,86
55749,2022-09-06 12:11:00,Dept of Public Works,Elmwood Bryant,180
55765,2022-10-03 08:38:00,DPIS,Riverside,153
55768,2022-03-29 12:13:00,Dept of Law,UNKNOWN,341
55799,2022-10-28 11:11:00,Dept of Public Works,Genesee-Moselle,128
55825,2022-09-07 14:06:00,Dept of Public Works,Masten Park,179
55838,2022-11-21 11:35:00,Dept of Law,UNKNOWN,104
55842,2022-09-22 16:26:00,Dept of Public Works,Broadway Fillmore,164
55884,2022-12-22 14:38:00,Dept of Public Works,North Park,73
55892,2022-11-28 11:08:00,Dept of Public Works,Elmwood Bryant,97
55948,2022-09-08 11:42:00,Dept of Public Works,First Ward,178
56011,2022-12-06 16:29:00,Dept of Public Works,Central Park,89
56037,2022-11-22 12:45:00,Dept of Public Works,University Heights,103
56146,2022-10-14 10:54:00,Dept of Public Works,North Park,142
56154,2022-05-02 12:45:00,Dept of Law,UNKNOWN,307
56199,2022-09-07 08:57:00,Dept of Public Works,Elmwood Bidwell,179
56203,2022-10-24 12:14:00,Dept of Public Works,Schiller Park,132
56243,2022-09-06 09:13:00,Dept of Public Works,Fillmore-Leroy,180
56294,2022-11-29 14:19:00,Dept of Public Works,Fruit Belt,96
56355,2022-10-23 11:15:00,DPIS,North Park,133
56363,2022-09-07 12:17:00,Dept of Public Works,Hopkins-Tifft,179
56377,2022-11-14 09:48:00,Dept of Public Works,Kenfield,111
56392,2022-11-28 14:52:00,Dept of Public Works,Broadway Fillmore,97
56396,2022-03-24 00:37:00,Dept of Public Works,Pratt-Willert,346
56535,2022-05-17 13:46:00,Dept of Public Works,Central,292
56555,2022-12-19 11:00:00,Dept of Public Works,Elmwood Bidwell,76
56579,2022-09-07 11:28:00,Dept of Public Works,South Park,179
56621,2022-11-23 12:03:00,Dept of Public Works,Broadway Fillmore,102
56640,2022-10-27 10:57:00,Dept of Public Works,North Park,129
56746,2022-10-25 08:39:00,Dept of Law,UNKNOWN,131
56750,2022-06-17 12:44:00,Dept of Public Works,Hamlin Park,261
56802,2022-10-31 14:43:00,Dept of Public Works,Central,125
56812,2022-10-27 10:27:00,Dept of Public Works,Seneca-Cazenovia,129
56823,2022-07-08 08:37:00,Dept of Public Works,Masten Park,240
56855,2022-07-27 14:08:00,Dept of Law,UNKNOWN,221
56876,2022-10-26 18:20:00,Dept of Public Works,Parkside,130
56891,2022-11-29 15:27:00,Dept of Law,UNKNOWN,96
56962,2022-09-15 14:03:00,Dept of Law,UNKNOWN,171
56992,2022-09-29 13:32:00,Dept of Law,UNKNOWN,157
57038,2022-12-07 09:45:00,Dept of Public Works,Delavan Grider,88
57049,2022-09-07 10:14:00,Dept of Public Works,Hopkins-Tifft,179
57116,2022-05-27 11:32:00,Dept of Public Works,Fillmore-Leroy,282
57151,2022-11-29 08:58:00,Dept of Law,UNKNOWN,96
57199,2022-11-09 09:39:00,Dept of Public Works,Black Rock,116
57225,2022-09-29 13:32:00,Dept of Law,UNKNOWN,157
57372,2022-11-02 07:00:00,DPIS,Parkside,123
57377,2022-04-28 11:44:00,Dept of Public Works,West Side,311
